CalcLineID,FullKey,Weight,Notes,ShortKey,In FIN Data Flow,CalcandKey,Count
10,0000001190,1,ADD: COSA - copy 1 (reversed),1190,Yes,101190,1
10,0000013522,1,ADD: Total Inventory - Product & Stores CF,13522,Yes,1013522,1
10,0000013524,1,ADD: Total Debtors CF,13524,Yes,1013524,1
10,0000013525,1,ADD: Total Creditors CF,13525,Yes,1013525,1
10,0000013529,1,ADD: Total Mark to Market on Emb. Derivatives - Net CF,13529,No,1013529,1
10,0000013558,1,ADD: Profit/Loss on IFRS FVTE,13558,Yes,1013558,1
10,0000014284,1,ADD: Working Capital Special Item 1,14284,No,1014284,1
10,0000014285,1,ADD: Working Capital Special Item 2,14285,No,1014285,1
11,0000001250,1,ADD: Interest & Dividends Receivable,1250,Yes,111250,1
11,0000013531,1,ADD: Total Dividend Received (incl. from Related Company),13531,Yes,1113531,1
13,0000000790,1,ADD: Development Capex – D&C,790,Yes,13790,1
13,0000000800,1,ADD: Development Capex – Other,800,Yes,13800,1
13,0000000820,1,ADD: Inorganic Capex,820,Yes,13820,1
13,0000000830,1,ADD: Capitalised Interest,830,Yes,13830,1
13,0000001220,1,ADD: E&A- Drilling,1220,Yes,131220,1
13,0000001230,1,ADD: E&A- Other,1230,Yes,131230,1
13,0000001240,1,ADD: Midstream Capex,1240,Yes,131240,1
13,0000001600,1,ADD: Movement in Capex Creditors,1600,Yes,131600,1
13,0000003760,1,ADD: Capitalised Interest Paid - copy 1 (reversed),3760,Yes,133760,1
13,0000014570,1,ADD: Accrued Lease Capex,14570,Yes,1314570,1
13,0000014571,1,ADD: Non-cash adj lease capex,14571,Yes,1314571,1
15,0000001700,1,ADD: Intangible Assets NBV (excl. Goodwill),1700,Yes,151700,1
15,0000001710,1,ADD: Tangible Assets NBV (excl. AUC),1710,Yes,151710,1
15,0000001720,1,ADD: Investments NBV,1720,Yes,151720,1
15,0000001870,1,ADD: Total Capex Creditors BS,1870,Yes,151870,1
15,0000001890,1,ADD: Provision for Decommissioning,1890,Yes,151890,1
15,0000001910,1,ADD: Other Provisions BS,1910,Yes,151910,1
15,0000007020,1,ADD: Assets in the course of Construction (AUC),7020,Yes,157020,1
15,0000010150,1,ADD: Intangible Assets - Goodwill,10150,Yes,1510150,1
15,0000013534,1,ADD: Total Inventory - Product & Stores BS,13534,Yes,1513534,1
15,0000013536,1,ADD: Total Debtors BS (Incl. I/C),13536,Yes,1513536,1
15,0000013538,1,ADD: Total Creditors BS (Incl. I/C),13538,Yes,1513538,1
15,0000013540,1,ADD: Total Mark to Market on Emb. Derivatives - Net BS,13540,Yes,1513540,1
15,0000013824,1,ADD: Assets Held for Sale,13824,Yes,1513824,1
15,0000013825,1,ADD: Liabilities associated with Assets Held for Sale,13825,Yes,1513825,1
15,0000014568,1,ADD: RoU Asset,14568,Yes,1514568,1
15,0000014569,1,ADD: Lease Liability,14569,Yes,1514569,1
15,0000014575,1,ADD: Partner Receivable – leases,14575,Yes,1514575,1
15,0000014576,1,ADD: Payable to Operator – leases,14576,Yes,1514576,1
16,0000003770,0.365,ADD: Revenue Generating Total Prod (mboed),3770,Yes,163770,1
